"Address","Total Shares","Total Pool Percent","ZCL Amount","BTCP Amount"
"t1bRfKzu3abmFRJ9Ax3qsg1BpUokKq2vn6b","583043885.7682756","5.59%","1612.921710585454","3494.19781323"
"t1fE4Ud2kDax7PwTgZYcp6utd39MP7TncXf","392217426.6643897","4.39%","1265.6833762868066","2741.94838884"
"t1YGE1GAvJtqP87R8CPJzRU17N6TNjv5RJA","281042464.93810695","3.34%","962.8299121373218","2085.85336252"
"t1SfQ78BWBWFxHsCgeXoon12Snofk9Y6yfX","228649798.5366383","3.30%","952.256992186817","2062.94842328"
"t1KU8H8SAG7BLF8ZNAw7HBpjJmVsEAmBFm2","203198453.31695893","3.24%","934.3534432319896","2024.16257199"
"t1JQiga1sHtEzHdPcx17YEKLD1MKnN8UDa6","200423851.23633626","2.88%","831.7295241126903","1801.84039019"
"t3QCBdDPgsymwcZ6eVHR1wRvrTEQ6SmAJ71","194899377.65196127","2.57%","740.6205945944121","1604.46402642"
"t1LQz4vtuJitZyT9ZH3HZXAjsCeys99cGcM","150869252.30851498","1.76%","506.98868164574844","1098.32903303"
"t1URFjhfw8mB4GUJfC51FF4qH7h7u4mErFF","98950558.26856332","1.56%","451.39841059476163","977.89950302"
"t1U4MMdnFWTJB1EkhgyR3RQgzksC4Tn9fSs","118613856.5535914","1.39%","401.54139906937974","869.89037927"
"t1QKfH1ZdgX9zbX8QoyukCbZWGxoTDZMAPP","83309852.25352666","1.31%","377.5753561104174","817.97087546"
"t1ZHa64Ndc3CbDGyz5QdCjqpx27ruBRdcXu","122435545.08607468","1.29%","372.92255425602673","807.89114873"
"t1JrHkyBS2iTJE3FhuiQ2Z6yeXg34YsLkpX","95529608.35421592","1.18%","340.14242607023886","736.87700622"
"t1Q4ioe7CwgC8SzQmgMpQUeVu6A5eKJAyZ4","91200248.67830838","0.98%","281.81061392756567","610.50826241"
"t1ZHFkMyyNbGh2K8skq1CJEZWyQjGJeocLr","75729493.80511504","0.90%","259.5301260504701","562.24030773"
